,num_channels,num_classes,num_test,num_train,resolution_0,resolution_1,sequence_size
binary_alpha_digits_num_classes_2_num_dev_examples_40_num_test_examples_26_resolution_16_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_2_num_dev_examples_54_num_test_examples_22_resolution_32_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_30_num_dev_examples_600_num_test_examples_150_resolution_32_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_31_num_dev_examples_620_num_test_examples_155_resolution_16_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_31_num_dev_examples_651_num_test_examples_155_resolution_16_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_34_num_dev_examples_680_num_test_examples_170_resolution_16_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_34_num_dev_examples_952_num_test_examples_170_resolution_16_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_35_num_dev_examples_700_num_test_examples_175_resolution_32_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_36_num_dev_examples_1296_num_test_examples_108_resolution_16_num_channels_1_original,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_36_num_dev_examples_864_num_test_examples_180_resolution_32_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_36_num_dev_examples_900_num_test_examples_180_resolution_32_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_3_num_dev_examples_60_num_test_examples_51_resolution_16_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_4_num_dev_examples_80_num_test_examples_64_resolution_16_num_channels_1,1,36,108,1296,16,16,1
binary_alpha_digits_num_classes_4_num_dev_examples_84_num_test_examples_20_resolution_32_num_channels_1,1,36,108,1296,16,16,1
caltech101_num_classes_100_num_dev_examples_2597_num_test_examples_800_resolution_128_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_102_num_dev_examples_8328_num_test_examples_816_resolution_256_num_channels_3_original,3,102,816,8328,256,256,1
caltech101_num_classes_11_num_dev_examples_453_num_test_examples_99_resolution_512_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_19_num_dev_examples_1177_num_test_examples_133_resolution_128_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_20_num_dev_examples_1698_num_test_examples_160_resolution_256_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_22_num_dev_examples_550_num_test_examples_132_resolution_512_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_23_num_dev_examples_1422_num_test_examples_138_resolution_256_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_29_num_dev_examples_1938_num_test_examples_174_resolution_512_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_30_num_dev_examples_886_num_test_examples_360_resolution_128_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_33_num_dev_examples_769_num_test_examples_264_resolution_128_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_33_num_dev_examples_931_num_test_examples_462_resolution_256_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_35_num_dev_examples_999_num_test_examples_490_resolution_512_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_38_num_dev_examples_1607_num_test_examples_304_resolution_512_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_39_num_dev_examples_1824_num_test_examples_429_resolution_256_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_3_num_dev_examples_60_num_test_examples_15_resolution_256_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_40_num_dev_examples_2940_num_test_examples_440_resolution_512_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_41_num_dev_examples_2094_num_test_examples_574_resolution_128_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_43_num_dev_examples_1034_num_test_examples_473_resolution_512_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_43_num_dev_examples_1565_num_test_examples_473_resolution_256_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_46_num_dev_examples_1601_num_test_examples_322_resolution_512_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_48_num_dev_examples_3542_num_test_examples_240_resolution_256_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_49_num_dev_examples_1623_num_test_examples_637_resolution_512_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_4_num_dev_examples_176_num_test_examples_36_resolution_128_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_52_num_dev_examples_3946_num_test_examples_468_resolution_128_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_54_num_dev_examples_1940_num_test_examples_486_resolution_512_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_56_num_dev_examples_4327_num_test_examples_728_resolution_256_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_57_num_dev_examples_1390_num_test_examples_456_resolution_512_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_5_num_dev_examples_142_num_test_examples_30_resolution_512_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_5_num_dev_examples_218_num_test_examples_65_resolution_256_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_61_num_dev_examples_1533_num_test_examples_366_resolution_128_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_61_num_dev_examples_1865_num_test_examples_305_resolution_256_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_61_num_dev_examples_2089_num_test_examples_610_resolution_128_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_63_num_dev_examples_1930_num_test_examples_441_resolution_128_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_65_num_dev_examples_1830_num_test_examples_650_resolution_128_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_68_num_dev_examples_5402_num_test_examples_476_resolution_128_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_6_num_dev_examples_120_num_test_examples_60_resolution_128_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_73_num_dev_examples_3261_num_test_examples_511_resolution_256_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_74_num_dev_examples_2459_num_test_examples_518_resolution_512_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_74_num_dev_examples_5219_num_test_examples_666_resolution_256_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_78_num_dev_examples_3095_num_test_examples_702_resolution_512_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_79_num_dev_examples_6108_num_test_examples_790_resolution_128_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_7_num_dev_examples_140_num_test_examples_98_resolution_256_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_7_num_dev_examples_487_num_test_examples_98_resolution_512_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_85_num_dev_examples_5313_num_test_examples_595_resolution_256_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_88_num_dev_examples_5939_num_test_examples_440_resolution_512_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_88_num_dev_examples_6653_num_test_examples_616_resolution_256_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_89_num_dev_examples_6873_num_test_examples_445_resolution_512_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_93_num_dev_examples_3200_num_test_examples_651_resolution_128_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_97_num_dev_examples_2534_num_test_examples_679_resolution_256_num_channels_3,3,102,816,8328,256,256,1
caltech101_num_classes_98_num_dev_examples_5802_num_test_examples_686_resolution_256_num_channels_3,3,102,816,8328,256,256,1
caltech_birds2010_num_classes_12_num_dev_examples_228_num_test_examples_84_resolution_128_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_15_num_dev_examples_291_num_test_examples_75_resolution_256_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_16_num_dev_examples_319_num_test_examples_96_resolution_128_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_17_num_dev_examples_381_num_test_examples_85_resolution_512_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_200_num_dev_examples_5433_num_test_examples_600_resolution_256_num_channels_3_original,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_22_num_dev_examples_413_num_test_examples_198_resolution_512_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_23_num_dev_examples_447_num_test_examples_184_resolution_256_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_26_num_dev_examples_469_num_test_examples_234_resolution_256_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_26_num_dev_examples_498_num_test_examples_130_resolution_128_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_28_num_dev_examples_535_num_test_examples_196_resolution_256_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_29_num_dev_examples_555_num_test_examples_232_resolution_128_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_30_num_dev_examples_559_num_test_examples_270_resolution_512_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_30_num_dev_examples_631_num_test_examples_240_resolution_256_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_31_num_dev_examples_592_num_test_examples_217_resolution_256_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_33_num_dev_examples_621_num_test_examples_297_resolution_128_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_34_num_dev_examples_661_num_test_examples_306_resolution_128_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_36_num_dev_examples_706_num_test_examples_216_resolution_512_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_38_num_dev_examples_692_num_test_examples_342_resolution_512_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_38_num_dev_examples_726_num_test_examples_266_resolution_512_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_38_num_dev_examples_857_num_test_examples_228_resolution_512_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_40_num_dev_examples_755_num_test_examples_320_resolution_256_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_42_num_dev_examples_788_num_test_examples_336_resolution_512_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_46_num_dev_examples_974_num_test_examples_322_resolution_256_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_48_num_dev_examples_1061_num_test_examples_336_resolution_256_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_48_num_dev_examples_900_num_test_examples_432_resolution_512_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_4_num_dev_examples_105_num_test_examples_24_resolution_512_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_4_num_dev_examples_72_num_test_examples_28_resolution_128_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_59_num_dev_examples_1089_num_test_examples_531_resolution_512_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_59_num_dev_examples_1112_num_test_examples_472_resolution_512_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_5_num_dev_examples_98_num_test_examples_45_resolution_256_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_60_num_dev_examples_1144_num_test_examples_420_resolution_128_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_60_num_dev_examples_1155_num_test_examples_420_resolution_128_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_63_num_dev_examples_1480_num_test_examples_315_resolution_128_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_66_num_dev_examples_1250_num_test_examples_528_resolution_128_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_68_num_dev_examples_1346_num_test_examples_340_resolution_512_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_71_num_dev_examples_1384_num_test_examples_355_resolution_512_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_75_num_dev_examples_1468_num_test_examples_375_resolution_128_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_77_num_dev_examples_1503_num_test_examples_462_resolution_256_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_78_num_dev_examples_1527_num_test_examples_390_resolution_512_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_7_num_dev_examples_136_num_test_examples_49_resolution_128_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_81_num_dev_examples_1567_num_test_examples_486_resolution_128_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_83_num_dev_examples_1629_num_test_examples_415_resolution_256_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_84_num_dev_examples_1635_num_test_examples_504_resolution_512_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_86_num_dev_examples_1940_num_test_examples_430_resolution_512_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_88_num_dev_examples_1719_num_test_examples_440_resolution_128_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_8_num_dev_examples_150_num_test_examples_56_resolution_128_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_90_num_dev_examples_1759_num_test_examples_450_resolution_256_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_91_num_dev_examples_1770_num_test_examples_455_resolution_128_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_95_num_dev_examples_1853_num_test_examples_475_resolution_128_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2010_num_classes_99_num_dev_examples_1949_num_test_examples_495_resolution_256_num_channels_3,3,200,600,5433,256,256,1
caltech_birds2011_num_classes_11_num_dev_examples_220_num_test_examples_66_resolution_128_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_12_num_dev_examples_240_num_test_examples_204_resolution_256_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_18_num_dev_examples_828_num_test_examples_180_resolution_256_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_200_num_dev_examples_10788_num_test_examples_1000_resolution_256_num_channels_3_original,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_20_num_dev_examples_667_num_test_examples_360_resolution_512_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_23_num_dev_examples_460_num_test_examples_230_resolution_256_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_30_num_dev_examples_856_num_test_examples_360_resolution_256_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_32_num_dev_examples_1198_num_test_examples_288_resolution_512_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_32_num_dev_examples_640_num_test_examples_160_resolution_512_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_32_num_dev_examples_664_num_test_examples_416_resolution_512_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_35_num_dev_examples_754_num_test_examples_420_resolution_128_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_36_num_dev_examples_1197_num_test_examples_576_resolution_512_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_36_num_dev_examples_720_num_test_examples_648_resolution_128_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_36_num_dev_examples_720_num_test_examples_648_resolution_512_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_3_num_dev_examples_71_num_test_examples_27_resolution_256_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_40_num_dev_examples_800_num_test_examples_600_resolution_512_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_41_num_dev_examples_1657_num_test_examples_369_resolution_128_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_45_num_dev_examples_900_num_test_examples_630_resolution_512_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_46_num_dev_examples_920_num_test_examples_552_resolution_128_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_47_num_dev_examples_940_num_test_examples_329_resolution_256_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_48_num_dev_examples_1438_num_test_examples_816_resolution_256_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_48_num_dev_examples_960_num_test_examples_624_resolution_128_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_54_num_dev_examples_1080_num_test_examples_540_resolution_128_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_54_num_dev_examples_1900_num_test_examples_540_resolution_128_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_55_num_dev_examples_1198_num_test_examples_935_resolution_512_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_56_num_dev_examples_1354_num_test_examples_1064_resolution_512_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_59_num_dev_examples_1180_num_test_examples_885_resolution_128_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_59_num_dev_examples_1797_num_test_examples_767_resolution_512_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_5_num_dev_examples_173_num_test_examples_50_resolution_128_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_60_num_dev_examples_1200_num_test_examples_480_resolution_256_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_60_num_dev_examples_2009_num_test_examples_300_resolution_256_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_62_num_dev_examples_2434_num_test_examples_434_resolution_512_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_67_num_dev_examples_1340_num_test_examples_1072_resolution_512_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_68_num_dev_examples_2664_num_test_examples_680_resolution_512_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_74_num_dev_examples_3328_num_test_examples_444_resolution_128_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_74_num_dev_examples_3448_num_test_examples_518_resolution_128_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_75_num_dev_examples_3388_num_test_examples_750_resolution_128_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_76_num_dev_examples_2808_num_test_examples_1064_resolution_512_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_77_num_dev_examples_2467_num_test_examples_1001_resolution_128_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_78_num_dev_examples_2762_num_test_examples_780_resolution_128_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_85_num_dev_examples_1700_num_test_examples_510_resolution_128_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_85_num_dev_examples_2018_num_test_examples_850_resolution_128_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_86_num_dev_examples_3371_num_test_examples_688_resolution_256_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_88_num_dev_examples_3703_num_test_examples_968_resolution_128_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_89_num_dev_examples_2330_num_test_examples_890_resolution_512_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_92_num_dev_examples_3515_num_test_examples_552_resolution_512_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_93_num_dev_examples_3019_num_test_examples_651_resolution_256_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_94_num_dev_examples_3405_num_test_examples_564_resolution_256_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_98_num_dev_examples_2574_num_test_examples_784_resolution_128_num_channels_3,3,200,1000,10788,256,256,1
caltech_birds2011_num_classes_98_num_dev_examples_2802_num_test_examples_490_resolution_512_num_channels_3,3,200,1000,10788,256,256,1
cassava_num_classes_2_num_dev_examples_1695_num_test_examples_148_resolution_512_num_channels_3,3,5,940,8490,512,512,1
cassava_num_classes_2_num_dev_examples_2398_num_test_examples_400_resolution_512_num_channels_3,3,5,940,8490,512,512,1
cassava_num_classes_2_num_dev_examples_2635_num_test_examples_386_resolution_512_num_channels_3,3,5,940,8490,512,512,1
cassava_num_classes_2_num_dev_examples_4084_num_test_examples_138_resolution_256_num_channels_3,3,5,940,8490,512,512,1
cassava_num_classes_2_num_dev_examples_410_num_test_examples_364_resolution_512_num_channels_3,3,5,940,8490,512,512,1
cassava_num_classes_2_num_dev_examples_4897_num_test_examples_110_resolution_256_num_channels_3,3,5,940,8490,512,512,1
cassava_num_classes_2_num_dev_examples_540_num_test_examples_386_resolution_256_num_channels_3,3,5,940,8490,512,512,1
cassava_num_classes_2_num_dev_examples_749_num_test_examples_450_resolution_512_num_channels_3,3,5,940,8490,512,512,1
cassava_num_classes_2_num_dev_examples_871_num_test_examples_120_resolution_512_num_channels_3,3,5,940,8490,512,512,1
cassava_num_classes_3_num_dev_examples_1029_num_test_examples_717_resolution_256_num_channels_3,3,5,940,8490,512,512,1
cassava_num_classes_3_num_dev_examples_1661_num_test_examples_561_resolution_512_num_channels_3,3,5,940,8490,512,512,1
cassava_num_classes_3_num_dev_examples_1730_num_test_examples_75_resolution_256_num_channels_3,3,5,940,8490,512,512,1
cassava_num_classes_3_num_dev_examples_2098_num_test_examples_477_resolution_512_num_channels_3,3,5,940,8490,512,512,1
cassava_num_classes_3_num_dev_examples_251_num_test_examples_657_resolution_256_num_channels_3,3,5,940,8490,512,512,1
cassava_num_classes_3_num_dev_examples_2720_num_test_examples_525_resolution_512_num_channels_3,3,5,940,8490,512,512,1
cassava_num_classes_3_num_dev_examples_3890_num_test_examples_411_resolution_256_num_channels_3,3,5,940,8490,512,512,1
cassava_num_classes_3_num_dev_examples_4265_num_test_examples_141_resolution_256_num_channels_3,3,5,940,8490,512,512,1
cassava_num_classes_3_num_dev_examples_4635_num_test_examples_186_resolution_512_num_channels_3,3,5,940,8490,512,512,1
cassava_num_classes_3_num_dev_examples_4853_num_test_examples_138_resolution_256_num_channels_3,3,5,940,8490,512,512,1
cassava_num_classes_3_num_dev_examples_775_num_test_examples_675_resolution_256_num_channels_3,3,5,940,8490,512,512,1
cassava_num_classes_4_num_dev_examples_1028_num_test_examples_132_resolution_256_num_channels_3,3,5,940,8490,512,512,1
cassava_num_classes_4_num_dev_examples_1049_num_test_examples_560_resolution_256_num_channels_3,3,5,940,8490,512,512,1
cassava_num_classes_4_num_dev_examples_1285_num_test_examples_92_resolution_256_num_channels_3,3,5,940,8490,512,512,1
cassava_num_classes_4_num_dev_examples_1653_num_test_examples_512_resolution_256_num_channels_3,3,5,940,8490,512,512,1
